id,name,address,lat,lon,url,phone,categories,hours,wheelchair_access
182761246169,Футбольный манеж Кампус Волгоградка,"Москва, Волгоградский проспект, 32, корп. 43",55.72287,37.68535,https://sportcampus.ru/,+7 (495) 129-17-77,"Аренда площадок для культурно-массовых мероприятий, Спортивный, тренажёрный зал, Стадион, Спортивный комплекс, Спортивный клуб, секция","ежедневно, круглосуточно",недоступно
1014100610,Луч,"Москва, Волоколамское шоссе, 88к9с1",55.822483,37.446686,http://stadion-luch.ru/,"+7 (495) 491-91-47, +7 (965) 374-35-66","Спортивный комплекс, Стадион","ежедневно, 08:00–22:00",недоступно
196296894660,Профутбол,"Москва, Ходынский бульвар, 4",55.789344,37.535744,https://parkarena.ru/?utm_source=map,"+7 (495) 369-29-48, +7 (916) 235-89-89","Спортивный комплекс, Спортивный, тренажёрный зал, Стадион, Спортивный клуб, секция","ежедневно, 07:00–02:00",недоступно
103660942656,Под мостом,"Москва, улица Лужники, 24",55.713908,37.563616,https://podmostom-moscow.ru/,"+7 (925) 801-62-11, +7 (926) 974-78-79","Спортивный комплекс, Аренда площадок для культурно-массовых мероприятий, Спортивно-развлекательный центр","ежедневно, 09:00–23:00",доступно
1186171327,Сокол,"Москва, Елизаветинский переулок, 3Ас1",55.760653,37.674436,https://fcpsr.ru/,"+7 (916) 115-04-85, +7 (495) 198-66-57","Спортивный комплекс, Стадион","ежедневно, 08:00–23:00",доступно
1804663980,Fenixarena,"Москва, улица Щипок, 28",55.723288,37.634659,,"+7 (915) 397-12-21, +7 (916) 574-87-88, +7 (910) 002-08-33","Стадион, Спортивный комплекс","ежедневно, 08:00–00:00",недоступно
108605004390,Футбольный центр CityFootball,"Москва, Варшавское шоссе, 14, стр. 14",55.695433,37.617385,https://center.cityfootball.ru/area/4,+7 (499) 460-06-34,"Спортивный комплекс, Стадион, Спортивный клуб, секция","ежедневно, 10:00–22:00",недоступно
1130872325,Сокольники,"Москва, Малый Олений переулок, 23с1А",55.80383,37.694765,,"+7 (926) 590-81-21, +7 (499) 268-14-67, +7 (499) 268-19-47, +7 (499) 268-80-13, +7 (499) 268-51-27","Спортивный комплекс, Аренда площадок для культурно-массовых мероприятий, Стадион","ежедневно, круглосуточно",доступно
85500448442,РФЛ-Арена,"Москва, Перовская улица, вл66Д",55.742333,37.803117,https://rflarena.ru/,+7 (929) 555-11-88,Спортивный комплекс,"ежедневно, круглосуточно",доступно
5300445202,Динамо Арена,"Москва, улица Юрия Никулина, 3",55.79057,37.565308,https://dynamoarena.ru/,+7 (985) 841-22-88,"Спортивный комплекс, Спортивный манеж, Стадион","ежедневно, 07:00–00:00",
218719830868,City Sport,"Москва, Новоалексеевская улица, 6",55.807419,37.642791,,+7 (499) 653-93-66,"Спортивная база, Стадион, Спортивный комплекс","ежедневно, 08:00–23:00",недоступно
77390900966,Кампус,"Москва, Марксистская улица, 22, стр. 2",55.737875,37.659713,http://sportcampus.ru/taganka?utm_campaign=taganka&utm_medium=yandex_card&utm_source=maps,+7 (495) 129-17-77,"Аренда площадок для культурно-массовых мероприятий, Спортивный комплекс, Спортивный клуб, секция","ежедневно, круглосуточно",
182167419546,Олимп Арена,"Москва, Западный административный округ, район Раменки, жилой комплекс Золотые Ключи",55.71458,37.502502,https://olimparena.pro/,+7 (495) 369-12-40,"Стадион, Спортивная школа","ежедневно, 06:00–00:00",недоступно
1722688196,Кампус,"Москва, 2-я Магистральная улица, 16, стр. 1",55.762758,37.529738,http://sportcampus.ru/shelepiha,+7 (495) 129-17-77,"Аренда площадок для культурно-массовых мероприятий, Спортивный комплекс, Спортивный клуб, секция","ежедневно, круглосуточно",
1724312362,Время Футбола,"Москва, Ходынский бульвар, 4",55.790181,37.526514,http://parkarena.ru/,"+7 (917) 539-37-55, +7 (916) 235-89-89, +7 (495) 369-10-96","Стадион, Спортивная база","ежедневно, круглосуточно",недоступно
78404670197,Футбольный манеж Новый Футбол,"Москва, Лужники",55.72308,37.546492,,+7 (495) 150-66-90,"Спортивный комплекс, Спортивный манеж, Спортивный клуб, секция","ежедневно, 09:00–00:00",
109372527121,РФЛ-Арена,"Москва, Волоцкой переулок",55.835736,37.351106,https://rflarena.ru/,+7 (929) 555-11-88,Спортивный комплекс,"ежедневно, круглосуточно",
234066480806,РФЛ-Арена,"Москва, Прокатная улица, 2-4",55.759518,37.834805,https://rflarena.ru/,+7 (929) 555-11-88,Спортивный комплекс,"ежедневно, круглосуточно",доступно
123225267676,Футбольное поле,"Москва, парк Свиблово",55.867842,37.626736,https://sport-vsegda.ru/yurlovsky,"+7 (926) 400-84-40, +7 (495) 540-47-77, +7 (925) 096-58-39","Спортплощадка, Стадион, Спортивный клуб, секция","ежедневно, 07:00–23:00",
180298090806,Квантум,"Москва, Братеевский парк",55.638893,37.727815,https://lfcquantum.ru/,+7 (966) 071-59-42,"Спортивный клуб, секция, Аренда площадок для культурно-массовых мероприятий, Стадион","пн-пт 19:00–23:00; сб,вс 09:00–22:00",доступно
1809670236,CityFootball,"Москва, улица Короленко, 1А",55.799279,37.687867,https://teleg.run/CityFootballTraining,+7 (499) 460-06-34,"Спортивный комплекс, Стадион, Спортивный клуб, секция","ежедневно, 10:00–00:00",
223638429890,Футбольное поле,"Москва, Таганская улица, вл40/42",55.737566,37.66696,,,Спортплощадка,"пн,вт,ср,чт,пт,вс 07:00–23:00",
